"";BBNZ1.Q.DE.Y.H.0056.A;BBNZ1.Q.DE.Y.H.0056.A_FLAGS
"";Deutschland / Bruttowertschöpfung / Baugewerbe / In verketteten Vorjahrespreisen (Kettenindex) / kalender- und saisonbereinigt;
Dezimalstellen;2;
Dimension;Eins;
Einheit;2020=100;
Format der Zeitangabe;P3M;
Kategorie;GRVG;
Quelle;Saisonbereinigung basierend auf Ursprungswerten des Statistischen Bundesamts;
Umrechnungsart;Durchschnitt;
Stand vom;25.02.2026 08:08:55 Uhr;
1991-Q1;131,69;
1991-Q2;132,28;
1991-Q3;135,13;
1991-Q4;139,34;
1992-Q1;140,49;
1992-Q2;141,25;
1992-Q3;141,30;
1992-Q4;145,92;
1993-Q1;140,26;
1993-Q2;140,29;
1993-Q3;143,01;
1993-Q4;140,48;
1994-Q1;144,80;
1994-Q2;147,96;
1994-Q3;147,77;
1994-Q4;151,94;
1995-Q1;142,83;
1995-Q2;146,42;
1995-Q3;143,21;
1995-Q4;140,05;
1996-Q1;126,71;
1996-Q2;140,02;
1996-Q3;137,33;
1996-Q4;137,34;
1997-Q1;130,02;
1997-Q2;134,56;
1997-Q3;132,81;
1997-Q4;132,73;
1998-Q1;131,96;
1998-Q2;128,04;
1998-Q3;126,49;
1998-Q4;123,50;
1999-Q1;125,19;
1999-Q2;125,10;
1999-Q3;127,37;
1999-Q4;126,83;
2000-Q1;126,69;
2000-Q2;124,70;
2000-Q3;123,26;
2000-Q4;121,31;
2001-Q1;118,56;
2001-Q2;116,31;
2001-Q3;115,67;
2001-Q4;115,64;
2002-Q1;114,53;
2002-Q2;110,67;
2002-Q3;110,26;
2002-Q4;108,11;
2003-Q1;105,82;
2003-Q2;106,36;
2003-Q3;107,09;
2003-Q4;104,29;
2004-Q1;104,44;
2004-Q2;102,87;
2004-Q3;100,06;
2004-Q4;98,13;
2005-Q1;96,80;
2005-Q2;97,63;
2005-Q3;98,52;
2005-Q4;96,25;
2006-Q1;92,18;
2006-Q2;97,56;
2006-Q3;99,88;
2006-Q4;101,45;
2007-Q1;99,82;
2007-Q2;95,48;
2007-Q3;95,73;
2007-Q4;97,52;
2008-Q1;99,78;
2008-Q2;93,89;
2008-Q3;92,59;
2008-Q4;92,58;
2009-Q1;93,05;
2009-Q2;92,80;
2009-Q3;92,71;
2009-Q4;92,33;
2010-Q1;93,15;
2010-Q2;99,86;
2010-Q3;97,30;
2010-Q4;93,53;
2011-Q1;99,03;
2011-Q2;99,53;
2011-Q3;97,81;
2011-Q4;101,56;
2012-Q1;100,62;
2012-Q2;100,18;
2012-Q3;99,09;
2012-Q4;97,55;
2013-Q1;95,77;
2013-Q2;98,14;
2013-Q3;99,71;
2013-Q4;100,68;
2014-Q1;102,10;
2014-Q2;99,60;
2014-Q3;99,24;
2014-Q4;99,02;
2015-Q1;97,46;
2015-Q2;96,39;
2015-Q3;96,06;
2015-Q4;96,89;
2016-Q1;98,66;
2016-Q2;98,53;
2016-Q3;98,13;
2016-Q4;97,41;
2017-Q1;98,99;
2017-Q2;100,35;
2017-Q3;100,03;
2017-Q4;101,24;
2018-Q1;100,73;
2018-Q2;102,44;
2018-Q3;102,59;
2018-Q4;104,26;
2019-Q1;99,55;
2019-Q2;98,38;
2019-Q3;99,17;
2019-Q4;98,69;
2020-Q1;101,12;
2020-Q2;97,16;
2020-Q3;95,80;
2020-Q4;104,01;
2021-Q1;93,83;
2021-Q2;98,21;
2021-Q3;96,14;
2021-Q4;96,02;
2022-Q1;89,11;
2022-Q2;86,35;
2022-Q3;83,76;
2022-Q4;82,73;
2023-Q1;83,64;
2023-Q2;82,59;
2023-Q3;81,84;
2023-Q4;80,65;
2024-Q1;81,43;
2024-Q2;79,80;
2024-Q3;78,16;
2024-Q4;77,11;
2025-Q1;78,21;
2025-Q2;76,52;
2025-Q3;75,90;
2025-Q4;77,19;
