"";BBDA1.M.DE.Y.EX.S.A.W1.A.V.ABA.L;BBDA1.M.DE.Y.EX.S.A.W1.A.V.ABA.L_FLAGS
"";Deutschland / Deutscher Außenhandel: Exporte / in jeweiligen Preisen / Insgesamt / Alle Waren / Gebietsfremd / in jeweiligen Preisen / kalender- und saisonbereinigt;
Dezimalstellen;2;
Dimension;Milliarden;
Einheit;DM/Euro;
Format der Zeitangabe;P1M;
Kategorie;AWAH;
Quelle;Saisonbereinigung basierend auf Ursprungswerten des Statistischen Bundesamts;
Umrechnungsart;Summe;
Stand vom;10.03.2026 08:08:06 Uhr;
1950-01;0,50;
1950-02;0,53;
1950-03;0,56;
1950-04;0,57;
1950-05;0,60;
1950-06;0,64;
1950-07;0,70;
1950-08;0,74;
1950-09;0,71;
1950-10;0,88;
1950-11;0,97;
1950-12;0,87;
1951-01;1,03;
1951-02;1,10;
1951-03;1,09;
1951-04;1,15;
1951-05;1,16;
1951-06;1,23;
1951-07;1,30;
1951-08;1,30;
1951-09;1,44;
1951-10;1,20;
1951-11;1,15;
1951-12;1,37;
1952-01;1,47;
1952-02;1,38;
1952-03;1,34;
1952-04;1,35;
1952-05;1,38;
1952-06;1,44;
1952-07;1,40;
1952-08;1,38;
1952-09;1,46;
1952-10;1,38;
1952-11;1,39;
1952-12;1,49;
1953-01;1,41;
1953-02;1,37;
1953-03;1,44;
1953-04;1,58;
1953-05;1,48;
1953-06;1,53;
1953-07;1,48;
1953-08;1,55;
1953-09;1,53;
1953-10;1,63;
1953-11;1,66;
1953-12;1,79;
1954-01;1,73;
1954-02;1,66;
1954-03;1,82;
1954-04;1,72;
1954-05;1,82;
1954-06;1,73;
1954-07;1,83;
1954-08;1,91;
1954-09;1,87;
1954-10;1,92;
1954-11;1,98;
1954-12;1,92;
1955-01;2,06;
1955-02;2,09;
1955-03;2,09;
1955-04;2,08;
1955-05;2,14;
1955-06;1,96;
1955-07;2,14;
1955-08;2,03;
1955-09;2,14;
1955-10;2,25;
1955-11;2,24;
1955-12;2,29;
1956-01;2,40;
1956-02;2,15;
1956-03;2,27;
1956-04;2,77;
1956-05;2,47;
1956-06;2,69;
1956-07;2,58;
1956-08;2,51;
1956-09;2,74;
1956-10;2,71;
1956-11;2,73;
1956-12;2,72;
1957-01;2,74;
1957-02;2,93;
1957-03;3,10;
1957-04;2,88;
1957-05;3,06;
1957-06;3,04;
1957-07;2,98;
1957-08;3,20;
1957-09;2,98;
1957-10;3,07;
1957-11;3,08;
1957-12;2,95;
1958-01;2,91;
1958-02;3,17;
1958-03;2,95;
1958-04;3,06;
1958-05;2,95;
1958-06;3,05;
1958-07;3,10;
1958-08;3,15;
1958-09;3,26;
1958-10;3,17;
1958-11;3,21;
1958-12;3,06;
1959-01;3,10;
1959-02;3,30;
1959-03;3,09;
1959-04;3,19;
1959-05;3,42;
1959-06;3,39;
1959-07;3,32;
1959-08;3,62;
1959-09;3,60;
1959-10;3,59;
1959-11;3,78;
1959-12;3,81;
1960-01;3,90;
1960-02;3,79;
1960-03;4,03;
1960-04;3,80;
1960-05;3,78;
1960-06;3,92;
1960-07;4,14;
1960-08;3,77;
1960-09;3,91;
1960-10;4,05;
1960-11;4,11;
1960-12;4,38;
1961-01;4,33;
1961-02;4,31;
1961-03;4,07;
1961-04;4,43;
1961-05;3,94;
1961-06;4,44;
1961-07;4,28;
1961-08;4,32;
1961-09;4,32;
1961-10;4,22;
1961-11;4,11;
1961-12;4,37;
1962-01;3,97;
1962-02;4,35;
1962-03;4,38;
1962-04;4,40;
1962-05;4,32;
1962-06;4,50;
1962-07;4,52;
1962-08;4,49;
1962-09;4,63;
1962-10;4,31;
1962-11;4,51;
1962-12;4,85;
1963-01;3,96;
1963-02;4,35;
1963-03;4,74;
1963-04;4,87;
1963-05;4,86;
1963-06;4,96;
1963-07;4,83;
1963-08;5,31;
1963-09;5,04;
1963-10;4,98;
1963-11;5,41;
1963-12;5,30;
1964-01;5,19;
1964-02;5,56;
1964-03;5,32;
1964-04;5,34;
1964-05;5,46;
1964-06;5,31;
1964-07;5,28;
1964-08;5,40;
1964-09;5,28;
1964-10;5,56;
1964-11;5,54;
1964-12;5,58;
1965-01;6,16;
1965-02;5,76;
1965-03;5,79;
1965-04;5,59;
1965-05;5,94;
1965-06;5,71;
1965-07;6,12;
1965-08;5,76;
1965-09;5,90;
1965-10;6,14;
1965-11;6,15;
