"";BBNZ1.Q.DE.Y.H.0103.L;BBNZ1.Q.DE.Y.H.0103.L_FLAGS
"";Deutschland / Verwendung des Bruttoinlandsprodukts / Private Konsumausgaben / In verketteten Vorjahrespreisen (Kettenindex);
Dezimalstellen;2;
Dimension;Eins;
Einheit;2020=100;
Format der Zeitangabe;P3M;
Kategorie;GRVG;
Kommentar;"1) Quelle der Ausgangsdaten: Statistisches Bundesamt. - 2) Gebietsstand: Ab 1991 Deutschland, davor Westdeutschland. Verkettet über Jahresdurchschnitt 1991 (eigene Berechnung). - 3) Methodik: Angaben sind Laspeyres-Kettenindizes vom Typ ""Annual Overlap"". Datengrundlagen: von 1970 bis 1990 gemäß ESVG 1995, ab 1991 gemäß ESVG 2010.";
Quelle;Saisonbereinigung basierend auf Ursprungswerten des Statistischen Bundesamts;
Umrechnungsart;Durchschnitt;
Stand vom;25.02.2026 08:09:24 Uhr;
1970-Q1;41,79;
1970-Q2;42,82;
1970-Q3;43,75;
1970-Q4;44,29;
1971-Q1;44,38;
1971-Q2;45,32;
1971-Q3;45,82;
1971-Q4;46,42;
1972-Q1;47,24;
1972-Q2;47,40;
1972-Q3;48,32;
1972-Q4;48,76;
1973-Q1;49,00;
1973-Q2;49,64;
1973-Q3;49,49;
1973-Q4;49,27;
1974-Q1;48,91;
1974-Q2;49,13;
1974-Q3;49,62;
1974-Q4;49,51;
1975-Q1;50,57;
1975-Q2;50,75;
1975-Q3;51,26;
1975-Q4;51,92;
1976-Q1;52,41;
1976-Q2;52,84;
1976-Q3;53,13;
1976-Q4;53,82;
1977-Q1;54,50;
1977-Q2;55,42;
1977-Q3;55,88;
1977-Q4;56,04;
1978-Q1;56,65;
1978-Q2;56,85;
1978-Q3;58,12;
1978-Q4;58,68;
1979-Q1;58,27;
1979-Q2;60,43;
1979-Q3;59,02;
1979-Q4;59,96;
1980-Q1;60,27;
1980-Q2;59,93;
1980-Q3;60,35;
1980-Q4;60,23;
1981-Q1;60,43;
1981-Q2;59,86;
1981-Q3;59,86;
1981-Q4;60,10;
1982-Q1;60,07;
1982-Q2;59,51;
1982-Q3;58,66;
1982-Q4;59,34;
