t,construction_level_change_thousands
1994-02-01,-0.015649999999999976
1994-03-01,0.010853999999999985
1994-04-01,0.008960899999999982
1994-05-01,-0.014766499999999952
1994-06-01,0.016785799999999993
1994-07-01,-0.009087100000000022
1994-08-01,0.011232700000000023
1994-09-01,-0.008834699999999997
1994-10-01,0.027766099999999995
1994-11-01,-0.026251599999999996
1994-12-01,-0.003786200000000008
1995-01-01,-0.0007572999999999866
1995-02-01,-0.0025242000000000077
1995-03-01,-0.01640719999999999
1995-04-01,0.00214549999999997
1995-05-01,-0.017038299999999992
1995-06-01,-0.018047900000000026
1995-07-01,0.022465300000000014
1995-08-01,-0.013504399999999975
1995-09-01,-0.008582300000000032
1995-10-01,-0.01211609999999996
1995-11-01,0.014892699999999991
1995-12-01,0.03609589999999997
1996-01-01,-0.03849379999999997
1996-02-01,-0.006815400000000011
1996-03-01,0.012494799999999999
1996-04-01,-0.003912500000000023
1996-05-01,-0.024232199999999978
1996-06-01,0.028523300000000005
1996-07-01,-0.018174200000000043
1996-08-01,-0.004669699999999977
1996-09-01,-0.0066890999999999964
1996-10-01,-0.00795119999999997
1996-11-01,0.008708399999999982
1996-12-01,-0.003912500000000023
1997-01-01,-0.0007572000000000117
1997-02-01,0.036979399999999996
1997-03-01,-0.03584349999999995
1997-04-01,-0.014135500000000035
1997-05-01,0.014009200000000022
1997-06-01,-0.013504400000000033
1997-07-01,0.001640800000000013
1997-08-01,-0.0109803
1997-09-01,0.015397600000000011
1997-10-01,-0.004543600000000026
1997-11-01,-0.004669699999999977
1997-12-01,-0.021077
1998-01-01,-0.01123259999999999
1998-02-01,-0.007067800000000005
1998-03-01,0.0109803
1998-04-01,0.016785799999999993
1998-05-01,0.02057219999999998
1998-06-01,-0.011358899999999977
1998-07-01,-0.0296592
1998-08-01,0.021455600000000005
1998-09-01,-0.007067700000000002
1998-10-01,-0.005048400000000015
1998-11-01,-0.0116113
1998-12-01,0.0232226
1999-01-01,-0.01943629999999999
1999-02-01,-0.0232226
1999-03-01,0.018426600000000008
1999-04-01,0.0002523999999999944
1999-05-01,0.0036601
1999-06-01,0.0007572999999999866
1999-07-01,0.00037860000000000584
1999-08-01,-0.012116099999999989
1999-09-01,0.003281499999999994
1999-10-01,0.005300700000000006
1999-11-01,-0.011737400000000007
1999-12-01,-0.00807740000000001
2000-01-01,-0.06777459999999999
2000-02-01,-0.017921700000000002
2000-03-01,0.013504400000000019
2000-04-01,-0.009213300000000018
2000-05-01,0.002776600000000002
2000-06-01,-0.0006310000000000003
2000-07-01,0.00037860000000000584
2000-08-01,-0.00025240000000000863
2000-09-01,-0.0011358999999999924
2000-10-01,-0.011989900000000006
2000-11-01,-0.004164899999999989
2000-12-01,-0.006436700000000002
2001-01-01,-0.012747160000000007
2001-02-01,0.015776160000000004
2001-03-01,-0.003281400000000005
2001-04-01,0.006436700000000002
2001-05-01,0.0066890999999999964
2001-06-01,-0.0012620999999999895
2001-07-01,-0.00012620000000001142
2001-08-01,-0.006436699999999988
2001-09-01,-0.0029027999999999992
2001-10-01,0.0001261999999999972
2001-11-01,-0.012494759999999999
2001-12-01,-0.006436689999999998
2002-01-01,0.008329830000000002
2002-02-01,0.0003786299999999869
2002-03-01,-0.0036600799999999935
2002-04-01,0.010980270000000004
2002-05-01,-0.0020193900000000015
2002-06-01,-0.0013883100000000041
2002-07-01,0.001640730000000005
2002-08-01,-0.004291130000000009
2002-09-01,-0.0005048299999999983
2002-10-01,-0.00681532
2002-11-01,0.004922170000000009
2002-12-01,0.034707579999999995
2003-01-01,0.014766500000000007
2003-02-01,-0.016912000000000007
2003-03-01,-0.0123686
2003-04-01,-0.008834599999999995
2003-05-01,-0.005805660000000003
2003-06-01,-0.001766930000000002
2003-07-01,-0.00769878
2003-08-01,0.006436679999999996
2003-09-01,-0.0039124899999999916
2003-10-01,0.0039124899999999916
2003-11-01,0.0003786300000000011
2003-12-01,0.025999160000000004
2004-01-01,0.010349199999999996
2004-02-01,-0.00567949999999999
2004-03-01,-0.0122423
2004-04-01,-0.015649950000000003
2004-05-01,-0.008834670000000003
2004-06-01,-0.007067729999999998
2004-07-01,-0.005300799999999995
2004-08-01,0.004795959999999994
2004-09-01,-0.003533860000000004
2004-10-01,0.0026504000000000046
2004-11-01,0.0022717700000000037
2004-12-01,-0.00668911
2005-01-01,0.015018929999999998
2005-02-01,-0.005553210000000007
2005-03-01,-0.006058059999999998
2005-04-01,-0.004038709999999995
2005-05-01,0.00820362
2005-06-01,-0.004543540000000007
2005-07-01,0.001009680000000003
2005-08-01,0.0006310500000000019
2005-09-01,0.003786280000000005
2005-10-01,-0.0034076600000000072
2005-11-01,0.0058056399999999965
2005-12-01,0.00542701000000001
2006-01-01,0.025746759999999994
2006-02-01,-0.011106499999999997
2006-03-01,-0.006310400000000002
2006-04-01,-0.004038740000000004
2006-05-01,-0.0079512
2006-06-01,-0.006815309999999996
2006-07-01,0.0032814499999999926
2006-08-01,-0.005427009999999996
2006-09-01,-0.003155239999999992
2006-10-01,-0.0039124900000000054
2006-11-01,-0.005931849999999997
2006-12-01,-0.008708450000000006
2007-01-01,0.005174590000000002
2007-02-01,-0.00239799
2007-03-01,0.0007572600000000022
2007-04-01,0.0020193500000000027
2007-05-01,-0.00037862000000000507
2007-06-01,-0.0026504100000000006
2007-07-01,0.0017669400000000053
2007-08-01,-0.0025241900000000043
2007-09-01,0.00567942
2007-10-01,-0.004795960000000001
2007-11-01,0.0027766100000000053
2007-12-01,0.0018931499999999986
2008-01-01,-0.005048380000000002
2008-02-01,0.004922159999999998
2008-03-01,-0.003533859999999997
2008-04-01,-0.0007572600000000022
2008-05-01,-0.004291119999999999
2008-06-01,0.00466975
2008-07-01,-0.003533859999999997
2008-08-01,-0.0027766100000000053
2008-09-01,0.00037862000000000507
2008-10-01,0.002019359999999999
2008-11-01,0.0005048400000000015
2008-12-01,-0.0041649200000000025
2009-01-01,0.0026503999999999976
2009-02-01,-0.002145559999999996
2009-03-01,0.00340766
2009-04-01,0.00025242000000000076
2009-05-01,0.0036600699999999975
2009-06-01,-0.005805640000000004
2009-07-01,0.002019360000000006
2009-08-01,0.006184259999999994
2009-09-01,-0.002397979999999997
2009-10-01,0.003786290000000001
2009-11-01,-0.0005048400000000015
2009-12-01,0.0021455600000000034
2010-01-01,-0.004417330000000007
2010-02-01,-0.000378629999999994
2010-03-01,-0.004164910000000006
2010-04-01,-0.005931849999999997
2010-05-01,0.00883466
