t,employees_level_change_thousands
1991-04-01,-0.188
1991-07-01,-0.333
1991-10-01,-0.029
1992-01-01,-0.067
1992-04-01,-0.104
1992-07-01,-0.172
1992-10-01,-0.179
1993-01-01,-0.064
1993-04-01,-0.166
1993-07-01,-0.102
1993-10-01,-0.052
1994-01-01,0.106
1994-04-01,-0.018
1994-07-01,0.065
1994-10-01,0.085
1995-01-01,0.034
1995-04-01,0.027
1995-07-01,0.005
1995-10-01,0.063
1996-01-01,-0.049
1996-04-01,0.065
1996-07-01,-0.055
1996-10-01,-0.047
1997-01-01,-0.061
1997-04-01,0.071
1997-07-01,0.07
1997-10-01,0.01
1998-01-01,0.072
1998-04-01,0.217
1998-07-01,0.24
1998-10-01,0.162
1999-01-01,0.087
1999-04-01,0.02
1999-07-01,0.344
1999-10-01,0.225
2000-01-01,0.382
2000-04-01,0.133
2000-07-01,0.05
2000-10-01,-0.004
2001-01-01,-0.102
2001-04-01,-0.025
2001-07-01,-0.095
2001-10-01,0.009
2002-01-01,0.021
2002-04-01,-0.076
2002-07-01,-0.145
2002-10-01,-0.142
2003-01-01,-0.115
2003-04-01,-0.169
2003-07-01,0.022
2003-10-01,0.0
2004-01-01,0.114
2004-04-01,0.088
2004-07-01,-0.035
2004-10-01,-0.029
2005-01-01,-0.09
2005-04-01,-0.018
2005-07-01,0.092
2005-10-01,0.108
2006-01-01,-0.146
2006-04-01,0.232
2006-07-01,0.203
2006-10-01,0.135
2007-01-01,0.207
2007-04-01,0.145
2007-07-01,0.124
2007-10-01,0.145
2008-01-01,0.264
2008-04-01,0.046
2008-07-01,0.09
2008-10-01,0.082
2009-01-01,0.041
2009-04-01,-0.113
2009-07-01,-0.054
2009-10-01,0.022
2010-01-01,0.039
2010-04-01,0.153
2010-07-01,0.11
2010-10-01,0.1
2011-01-01,0.109
2011-04-01,0.137
2011-07-01,0.119
2011-10-01,0.127
2012-01-01,0.15
2012-04-01,0.105
2012-07-01,0.1
2012-10-01,0.109
2013-01-01,0.054
2013-04-01,0.035
2013-07-01,0.101
2013-10-01,0.096
2014-01-01,0.136
2014-04-01,0.094
2014-07-01,0.06
2014-10-01,0.042
2015-01-01,0.077
2015-04-01,0.155
2015-07-01,0.137
2015-10-01,0.135
2016-01-01,0.11
2016-04-01,0.158
2016-07-01,0.141
2016-10-01,0.168
2017-01-01,0.13
2017-04-01,0.165
2017-07-01,0.16
2017-10-01,0.134
2018-01-01,0.179
2018-04-01,0.142
2018-07-01,0.112
2018-10-01,0.102
2019-01-01,0.123
2019-04-01,0.11
2019-07-01,0.041
2019-10-01,0.074
2020-01-01,0.026
2020-04-01,-0.605
2020-07-01,-0.035
2020-10-01,0.068
2021-01-01,-0.033
2021-04-01,0.104
2021-07-01,0.22
2021-10-01,0.145
2022-01-01,0.19
2022-04-01,0.119
2022-07-01,0.077
2022-10-01,0.103
2023-01-01,0.108
2023-04-01,0.058
2023-07-01,0.01
2023-10-01,0.016
2024-01-01,0.011
2024-04-01,0.02
2024-07-01,-0.02
2024-10-01,0.017
2025-01-01,0.023
2025-04-01,-0.01
2025-07-01,-0.042
2025-10-01,-0.029
