observation_date,DEUPERMITMISMEI
1994-01-01,355.15360
1994-02-01,339.50360
1994-03-01,350.35760
1994-04-01,359.31850
1994-05-01,344.55200
1994-06-01,361.33780
1994-07-01,352.25070
1994-08-01,363.48340
1994-09-01,354.64870
1994-10-01,382.41480
1994-11-01,356.16320
1994-12-01,352.37700
1995-01-01,351.61970
1995-02-01,349.09550
1995-03-01,332.68830
1995-04-01,334.83380
1995-05-01,317.79550
1995-06-01,299.74760
1995-07-01,322.21290
1995-08-01,308.70850
1995-09-01,300.12620
1995-10-01,288.01010
1995-11-01,302.90280
1995-12-01,338.99870
1996-01-01,300.50490
1996-02-01,293.68950
1996-03-01,306.18430
1996-04-01,302.27180
1996-05-01,278.03960
1996-06-01,306.56290
1996-07-01,288.38870
1996-08-01,283.71900
1996-09-01,277.02990
1996-10-01,269.07870
1996-11-01,277.78710
1996-12-01,273.87460
1997-01-01,273.11740
1997-02-01,310.09680
1997-03-01,274.25330
1997-04-01,260.11780
1997-05-01,274.12700
1997-06-01,260.62260
1997-07-01,262.26340
1997-08-01,251.28310
1997-09-01,266.68070
1997-10-01,262.13710
1997-11-01,257.46740
1997-12-01,236.39040
1998-01-01,225.15780
1998-02-01,218.09000
1998-03-01,229.07030
1998-04-01,245.85610
1998-05-01,266.42830
1998-06-01,255.06940
1998-07-01,225.41020
1998-08-01,246.86580
1998-09-01,239.79810
1998-10-01,234.74970
1998-11-01,223.13840
1998-12-01,246.36100
1999-01-01,226.92470
1999-02-01,203.70210
1999-03-01,222.12870
1999-04-01,222.38110
1999-05-01,226.04120
1999-06-01,226.79850
1999-07-01,227.17710
1999-08-01,215.06100
1999-09-01,218.34250
1999-10-01,223.64320
1999-11-01,211.90580
1999-12-01,203.82840
2000-01-01,136.05380
2000-02-01,118.13210
2000-03-01,131.63650
2000-04-01,122.42320
2000-05-01,125.19980
2000-06-01,124.56880
2000-07-01,124.94740
2000-08-01,124.69500
2000-09-01,123.55910
2000-10-01,111.56920
2000-11-01,107.40430
2000-12-01,100.96760
2001-01-01,88.22044
2001-02-01,103.99660
2001-03-01,100.71520
2001-04-01,107.15190
2001-05-01,113.84100
2001-06-01,112.57890
2001-07-01,112.45270
2001-08-01,106.01600
2001-09-01,103.11320
2001-10-01,103.23940
2001-11-01,90.74464
2001-12-01,84.30795
2002-01-01,92.63778
2002-02-01,93.01641
2002-03-01,89.35633
2002-04-01,100.33660
2002-05-01,98.31721
2002-06-01,96.92890
2002-07-01,98.56963
2002-08-01,94.27850
2002-09-01,93.77367
2002-10-01,86.95835
2002-11-01,91.88052
2002-12-01,126.58810
2003-01-01,141.35460
2003-02-01,124.44260
2003-03-01,112.07400
2003-04-01,103.23940
2003-05-01,97.43374
2003-06-01,95.66681
2003-07-01,87.96803
2003-08-01,94.40471
2003-09-01,90.49222
2003-10-01,94.40471
2003-11-01,94.78334
2003-12-01,120.78250
2004-01-01,131.13170
2004-02-01,125.45220
2004-03-01,113.20990
2004-04-01,97.55995
2004-05-01,88.72528
2004-06-01,81.65755
2004-07-01,76.35675
2004-08-01,81.15271
2004-09-01,77.61885
2004-10-01,80.26925
2004-11-01,82.54102
2004-12-01,75.85191
2005-01-01,90.87084
2005-02-01,85.31763
2005-03-01,79.25957
2005-04-01,75.22086
2005-05-01,83.42448
2005-06-01,78.88094
2005-07-01,79.89062
2005-08-01,80.52167
2005-09-01,84.30795
2005-10-01,80.90029
2005-11-01,86.70593
2005-12-01,92.13294
2006-01-01,117.87970
2006-02-01,106.77320
2006-03-01,100.46280
2006-04-01,96.42406
2006-05-01,88.47286
2006-06-01,81.65755
